,id_global,ba_ID,ba_away score,ba_home score,ba_league,ba_odds_away_bet365,ba_odds_away_cloudbet,ba_odds_home_bet365,ba_odds_home_cloudbet,ba_player_0,ba_player_1,ba_time,ba_win,cb_away.abbreviation,cb_away.key,cb_away.name,cb_away.nationality,cb_away.researchId,cb_cutoffTime,cb_home.abbreviation,cb_home.key,cb_home.name,cb_home.nationality,cb_home.researchId,cb_id,cb_id_global,cb_key,cb_maxStake_away,cb_maxStake_home,cb_metadata.opinion,cb_metadata.opinions.period=game1.outcomes,cb_metadata.opinions.period=game2.outcomes,cb_metadata.opinions.period=game3.outcomes,cb_metadata.opinions.period=game4.outcomes,cb_metadata.opinions.period=game5.outcomes,cb_metadata.opinions.period=set1.outcomes,cb_metadata.opinions.period=set2.outcomes,cb_metadata.opinions.period=set3.outcomes,cb_metadata.opinions.period=set4.outcomes,cb_metadata.opinions.period=set5.outcomes,cb_minStake_away,cb_minStake_home,cb_name,cb_price_away,cb_price_home,cb_probability_away,cb_probability_home,cb_sequence,cb_slug,cb_status,cb_tournament,cb_type,sc_awayScore.current,sc_awayScore.period1,sc_awayScore.period2,sc_awayScore.period3,sc_awayScore.period4,sc_awayScore.period5,sc_awayTeam.id,sc_awayTeam.name,sc_awayTeam.nameCode,sc_awayTeam.slug,sc_customId,sc_homeScore.current,sc_homeScore.period1,sc_homeScore.period2,sc_homeScore.period3,sc_homeScore.period4,sc_homeScore.period5,sc_homeTeam.id,sc_homeTeam.name,sc_homeTeam.nameCode,sc_homeTeam.slug,sc_id,sc_slug,sc_slug2,sc_startTimestamp,sc_status.description,sc_status.type,sc_tournament.slug,sc_winnerCode,tg_pks_EV,tg_pks_Moneyline,tg_pks_Player1,tg_pks_Player2,tg_pks_Series,tg_pks_Start Time,tg_pks_Wager,tg_pks_Winner,tg_pks_odds,tg_pks_p,tg_pks_p(EV>0),tg_prob_player1,tg_prob_player1_odds,tg_prob_player1_prob,tg_prob_player2,tg_prob_player2_odds,tg_prob_player2_prob,tg_prob_start_time,cb_to_predict,winner,Unnamed: 0,time,player_0,player_1,price_home,price_away,stake_home,stake_away,prob_home,prob_away
0,2024-10-21_19:30:00-blocho-kumor,,,,,,,,,,,,,KUM,c1bea9c-michal-kumor,Michal Kumor,,,2024-10-21 19:30:00,BLO,c12e0db-przemyslaw-blocho,Przemyslaw Blocho,,,25893727.0,2024-10-21_19:30:00-blocho-kumor,c12e0db-przemyslaw-blocho-v-c1bea9c-michal-kumor,19.22564,9604.0,[],,,,,,,,,,,0.1,0.1,Przemyslaw Blocho v Michal Kumor,10.99,1.02,0.085,0.915,6.0,blocho-kumor,TRADING,TT Elite Series,EVENT_TYPE_EVENT,0.0,10.0,9.0,1.0,,,498321.0,Kumor M.,KUM,kumor-michal,bAEdswqZd,3.0,12.0,11.0,11.0,,,448751.0,Blocho P.,BLO,blocho-przemyslaw,13011344.0,kumor-blocho,blocho-kumor,2024-10-21 19:30:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121377,2024-10-21 19:30:00,blocho-przemyslaw,kumor-michal,1.02,10.99,0.0,12.509791931917423,81.51816190702257,18.481838092977423
1,2024-10-21_21:10:00-skorski-rolak,,,,,,,,,,,,,ROL,c11551a-jaroslaw-rolak,Jaroslaw Rolak,,,2024-10-21 21:10:00,SKO,c100c1b-michal-skorski,Michal Skorski,,,25893737.0,2024-10-21_21:10:00-skorski-rolak,c100c1b-michal-skorski-v-c11551a-jaroslaw-rolak,161.40992,314.8838,[],,,,,,,,,,,0.1,0.1,Michal Skorski v Jaroslaw Rolak,2.19,1.61,0.424,0.576,6.0,skorski-rolak,TRADING,TT Elite Series,EVENT_TYPE_EVENT,0.0,,,,,,417953.0,Rolak J.,ROL,rolak-jaroslaw,DEodsdjrd,3.0,,,,,,411478.0,Skorski M.,SKO,skorski-michal,13011362.0,rolak-skorski,skorski-rolak,2024-10-21 21:10:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121390,2024-10-21 21:10:00,skorski-michal,rolak-jaroslaw,1.61,2.19,0.0,21.850765218506243,42.063764892077536,57.936235107922464
2,2024-10-21_21:35:00-fabis-koczyba,,,,,,,,,,,,,KOC,c10524d-mariusz-koczyba,Mariusz Koczyba,,,2024-10-21 21:35:00,FAB,c1cd1ef-adrian-fabis,Adrian Fabis,,,25893754.0,2024-10-21_21:35:00-fabis-koczyba,c1cd1ef-adrian-fabis-v-c10524d-mariusz-koczyba,80.03268,711.40552,[],,,,,,,,,,,0.1,0.1,Adrian Fabis v Mariusz Koczyba,3.4,1.27,0.272,0.728,6.0,fabis-koczyba,TRADING,TT Elite Series,EVENT_TYPE_EVENT,1.0,,,,,,412472.0,Koczyba M.,KOC,koczyba-mariusz,xZodsCNge,3.0,,,,,,516927.0,Fabis A.,FAB,fabis-adrian,13011366.0,fabis-koczyba,fabis-koczyba,2024-10-21 21:35:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121215,2024-10-21 21:35:00,fabis-adrian,koczyba-mariusz,1.27,3.4,0.0,11.7021378457025,60.63260938427182,39.36739061572819
3,2024-10-22_07:15:00-braun-nowalinski,,,,,,,,,,,,,NOW,c1ab0c9-maciej-nowalinski,Maciej Nowalinski,,,2024-10-22 07:15:00,BRA,c101255-josef-braun,Josef Braun,,,25908577.0,2024-10-22_07:15:00-braun-nowalinski,c101255-josef-braun-v-c1ab0c9-maciej-nowalinski,80.03268,711.40552,[],,,,,,,,,,,0.1,0.1,Josef Braun v Maciej Nowalinski,3.4,1.27,0.272,0.728,7.0,braun-nowalinski,TRADING,TT Elite Series,EVENT_TYPE_EVENT,1.0,19.0,6.0,9.0,7.0,,482656.0,Nowalinski M.,NOW,nowalinski-maciej,IFodsgdTd,3.0,17.0,11.0,11.0,11.0,,411533.0,Braun J.,BRA,braun-josef,13014933.0,nowalinski-braun,braun-nowalinski,2024-10-22 07:15:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121467,2024-10-22 07:15:00,braun-josef,nowalinski-maciej,1.27,3.4,0.0,21.50335400636015,58.69153589514373,41.30846410485627
4,2024-10-22_20:20:00-lewczuk-michalik,,,,,,,,,,,,,MIC,c1bf070-jerzy-michalik,Jerzy Michalik,,,2024-10-22 20:20:00,LEW,cfde2a-miroslaw-lewczuk,Miroslaw Lewczuk,,,25908734.0,2024-10-22_20:20:00-lewczuk-michalik,cfde2a-miroslaw-lewczuk-v-c1bf070-jerzy-michalik,561.93592,652.12336,[],,,,,,,,,,,0.1,0.1,Miroslaw Lewczuk v Jerzy Michalik,1.94,1.81,0.483,0.517,7.0,lewczuk-michalik,TRADING,TT Elite Series,EVENT_TYPE_EVENT,1.0,4.0,11.0,5.0,9.0,,498642.0,Michalik J.,MIC,michalik-jerzy,amodsRxZd,3.0,11.0,9.0,11.0,11.0,,410600.0,Lewczuk M.,LEW,lewczuk-miroslaw,13015050.0,michalik-lewczuk,lewczuk-michalik,2024-10-22 20:20:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121587,2024-10-22 20:20:00,lewczuk-miroslaw,michalik-jerzy,1.81,1.94,0.0,7.486047039535546,38.79053277067065,61.20946722932935
5,2024-10-23_18:25:00-trela-gala,,,,,,,,,,,,,GAL,c1ba3f3-dawid-gala,Dawid Gala,,,2024-10-23 18:25:00,TRE,c1c7b02-mateusz-trela,Mateusz Trela,,,25922405.0,2024-10-23_18:25:00-trela-gala,c1c7b02-mateusz-trela-v-c1ba3f3-dawid-gala,47.66132,1477.53816,[],,,,,,,,,,,0.1,0.1,Mateusz Trela v Dawid Gala,5.03,1.13,0.183,0.817,8.0,trela-gala,TRADING,TT Elite Series,EVENT_TYPE_EVENT,1.0,8.0,11.0,9.0,9.0,,494024.0,Gala D.,GAL,gala-dawid,zFXdsxkde,3.0,11.0,3.0,11.0,11.0,,508022.0,Trela M.,TRE,trela-mateusz,13018525.0,trela-gala,trela-gala,2024-10-23 18:25:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121748,2024-10-23 18:25:00,trela-mateusz,gala-dawid,1.13,5.03,0.0,43.30966292249693,65.24703597348616,34.752964026513844
6,2024-10-23_18:30:00-misiak-skorski,,,,,,,,,,,,,SKO,c100c1b-michal-skorski,Michal Skorski,,,2024-10-23 18:30:00,MIS,c10b698-mateusz-misiak,Mateusz Misiak,,,25922408.0,2024-10-23_18:30:00-misiak-skorski,c10b698-mateusz-misiak-v-c100c1b-michal-skorski,733.6378,484.60412,[],,,,,,,,,,,0.1,0.1,Mateusz Misiak v Michal Skorski,1.72,2.09,0.549,0.451,6.0,misiak-skorski,TRADING,TT Elite Series,EVENT_TYPE_EVENT,2.0,7.0,13.0,8.0,11.0,8.0,411478.0,Skorski M.,SKO,skorski-michal,DEodspHpd,3.0,11.0,11.0,11.0,9.0,11.0,414115.0,Misiak M.,MIS,misiak-mateusz,13018526.0,misiak-skorski,misiak-skorski,2024-10-23 18:30:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121775,2024-10-23 18:30:00,misiak-mateusz,skorski-michal,2.09,1.72,43.14796546656314,0.0,62.70278038342845,37.29721961657155
7,2024-10-23_19:30:00-lamer-lewczuk,,,,,,,,,,,,,LEW,cfde2a-miroslaw-lewczuk,Miroslaw Lewczuk,,,2024-10-23 19:30:00,LAM,c15cce0-maciej-lamer,Maciej Lamer,,,25922412.0,2024-10-23_19:30:00-lamer-lewczuk,c15cce0-maciej-lamer-v-cfde2a-miroslaw-lewczuk,325.55796,152.44292,[],,,,,,,,,,,0.1,0.1,Maciej Lamer v Miroslaw Lewczuk,1.59,2.26,0.587,0.413,7.0,lamer-lewczuk,TRADING,TT Elite Series,EVENT_TYPE_EVENT,3.0,11.0,11.0,11.0,,,410600.0,Lewczuk M.,LEW,lewczuk-miroslaw,amodsNFId,0.0,8.0,4.0,9.0,,,459038.0,Lamer M.,LAM,lamer-maciej,13018535.0,lamer-lewczuk,lamer-lewczuk,2024-10-23 19:30:00,Ended,finished,tt-elite-series,2.0,,,,,,,,,,,,,,,,,,,,1.0,121784,2024-10-23 19:30:00,lamer-maciej,lewczuk-miroslaw,2.26,1.59,36.34154278003199,0.0,58.384786601577,41.615213398423
8,2024-10-23_19:35:00-gala-koczyba,,,,,,,,,,,,,KOC,c10524d-mariusz-koczyba,Mariusz Koczyba,,,2024-10-23 19:35:00,GAL,c1ba3f3-dawid-gala,Dawid Gala,,,25922436.0,2024-10-23_19:35:00-gala-koczyba,c1ba3f3-dawid-gala-v-c10524d-mariusz-koczyba,662.34476,84.98952,[],,,,,,,,,,,0.1,0.1,Dawid Gala v Mariusz Koczyba,1.29,3.26,0.716,0.284,6.0,gala-koczyba,TRADING,TT Elite Series,EVENT_TYPE_EVENT,3.0,11.0,12.0,7.0,11.0,,412472.0,Koczyba M.,KOC,koczyba-mariusz,xZodszFXd,1.0,8.0,10.0,11.0,6.0,,494024.0,Gala D.,GAL,gala-dawid,13018537.0,gala-koczyba,gala-koczyba,2024-10-23 19:35:00,Ended,finished,tt-elite-series,2.0,,,,,,,,,,,,,,,,,,,,1.0,121753,2024-10-23 19:35:00,gala-dawid,koczyba-mariusz,3.26,1.29,30.982023850119937,0.0,44.03644124408501,55.96355875591499
9,2024-10-23_20:00:00-trela-kowalczyk,,,,,,,,,,,,,KOW,c118926-marcin-kowalczyk,Marcin Kowalczyk,,,2024-10-23 20:00:00,TRE,c1c7b02-mateusz-trela,Mateusz Trela,,,25922417.0,2024-10-23_20:00:00-trela-kowalczyk,c1c7b02-mateusz-trela-v-c118926-marcin-kowalczyk,34.055,2401.0,[],,,,,,,,,,,0.1,0.1,Mateusz Trela v Marcin Kowalczyk,6.64,1.08,0.14,0.86,5.0,trela-kowalczyk,TRADING,TT Elite Series,EVENT_TYPE_EVENT,0.0,5.0,1.0,8.0,,,419378.0,Kowalczyk M.,KOW,kowalczyk-marcin,DMrdsxkde,3.0,11.0,11.0,11.0,,,508022.0,Trela M.,TRE,trela-mateusz,13018541.0,trela-kowalczyk,trela-kowalczyk,2024-10-23 20:00:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121755,2024-10-23 20:00:00,trela-mateusz,kowalczyk-marcin,1.08,6.64,0.0,27.786301057676543,72.34046964168019,27.65953035831981
